6.219641123607288653e-06 0.000000000000000000e+00 0.000000000000000000e+00
7.500621964112359763e-02 3.824805768796724061e-26 3.825119897016983785e-26
1.500062196411235949e-01 1.746916806669421734e-13 1.746995895841848671e-13
2.250062196411236060e-01 2.894236671927361825e-09 2.894453682374875991e-09
3.000062196411236171e-01 3.703817074278768504e-07 3.703634935548982262e-07
3.750062196411236282e-01 6.743790839464000451e-06 6.743863999088331440e-06
4.500062196411236393e-01 4.618573604984461511e-05 4.618666686945229301e-05
5.250062196411235949e-01 1.805961008061155609e-04 1.805899343697036133e-04
6.000062196411235504e-01 4.969322977784089782e-04 4.969521375477550275e-04
6.750062196411235060e-01 1.081454293352556361e-03 1.081461044778474906e-03
7.500062196411234616e-01 1.996675193969885999e-03 1.996662648543472141e-03
8.250062196411234172e-01 3.271029192643323986e-03 3.271168993270795987e-03
9.000062196411233728e-01 4.900662816920904261e-03 4.900728829019821570e-03
9.750062196411233284e-01 6.855522138338811938e-03 6.855987934952372485e-03
1.050006219641123284e+00 9.091067410016374570e-03 9.091462426411418135e-03
1.125006219641123240e+00 1.155435007922139649e-02 1.155426413136642974e-02
1.200006219641123195e+00 1.418938550293059181e-02 1.419050661322567193e-02
1.275006219641123151e+00 1.694791751558893944e-02 1.694878598749305701e-02
1.350006219641123106e+00 1.978280859090165295e-02 1.978357092683256935e-02
1.425006219641123062e+00 2.265741705730463240e-02 2.265540291033007331e-02
1.500006219641123018e+00 2.552998353930394093e-02 2.553244335508840501e-02
1.575006219641122973e+00 2.838655714184406750e-02 2.838734176094040787e-02
1.650006219641122929e+00 3.119861122433722003e-02 3.120003058074591676e-02
1.725006219641122884e+00 3.395190872591966058e-02 3.395456466457538736e-02
1.800006219641122840e+00 3.663756197935000292e-02 3.663907064326735186e-02
1.875006219641122795e+00 3.924668342182768832e-02 3.924531183209513385e-02
1.950006219641122751e+00 4.176528657429908614e-02 4.176822631517920076e-02
2.025006219641122929e+00 4.420145723862183018e-02 4.420383904826237498e-02
2.100006219641123106e+00 4.654832777430855523e-02 4.655085816634378648e-02
2.175006219641123284e+00 4.881113804927072336e-02 4.880878789010503760e-02
2.250006219641123462e+00 5.098079482120883993e-02 5.097888866718358614e-02
2.325006219641123639e+00 5.306043592021471300e-02 5.306262932656462261e-02
2.400006219641123817e+00 5.506400395681713966e-02 5.506165652201111538e-02
2.475006219641123995e+00 5.698434756200923545e-02 5.697892399242750205e-02
2.550006219641124172e+00 5.881921308505239782e-02 5.881741935678807404e-02
2.625006219641124350e+00 6.058489023585835603e-02 6.057963317595549402e-02
2.700006219641124527e+00 6.227345507356453480e-02 6.226903939639698293e-02
2.775006219641124705e+00 6.388406838730929793e-02 6.388885551507045291e-02
2.850006219641124883e+00 6.544587719367009337e-02 6.544134715504977551e-02
2.925006219641125060e+00 6.693419223231394932e-02 6.693044656370729373e-02
